,ID1-Seg,ID2-Seg,ID1-Pixels,ID2-Pixels,EndPoints,z1,z2,y1,y2,x1,x2
0,1415,9342,311664,16904,"[([96.0, 1657.0, 1262.0], [104.0, 1661.0, 1221.0])]",124,45,2047,65,552,126
1,1250,2622,333230,210646,"[([481.0, 522.0, 671.0], [480.0, 527.0, 622.0])]",749,749,1556,260,780,649
2,5312,4543,90990,120078,"[([195.0, 979.0, 764.0], [193.0, 961.0, 746.0])]",208,330,979,1086,265,549
3,936,7718,398002,32282,"[([646.0, 289.0, 802.0], [645.0, 288.0, 821.0]), ([649.0, 298.0, 770.0], [645.0, 288.0, 821.0])]",749,77,594,289,1322,417
4,845,7928,425093,29588,"[([321.0, 985.0, 1615.0], [324.0, 960.0, 1574.0])]",724,63,1954,268,542,131
5,6439,6641,56905,53483,"[([9.0, 724.0, 1351.0], [9.0, 743.0, 1356.0])]",51,57,619,635,155,204
6,6641,5774,53483,76319,"[([9.0, 743.0, 1356.0], [9.0, 758.0, 1403.0])]",57,328,635,758,204,867
7,2042,1167,250898,345958,"[([542.0, 151.0, 784.0], [548.0, 120.0, 800.0])]",749,643,415,1364,635,577
8,4426,2130,124370,244133,"[([9.0, 1205.0, 1961.0], [9.0, 1204.0, 1948.0])]",58,342,1052,1204,446,1173
9,4195,2636,133310,212867,"[([9.0, 1138.0, 1820.0], [9.0, 1117.0, 1860.0])]",114,435,1136,933,803,1081
10,4195,2649,133310,209280,"[([9.0, 1138.0, 1820.0], [9.0, 1135.0, 1837.0])]",114,470,1136,1115,803,1837
11,4195,3206,133310,180810,"[([9.0, 1138.0, 1820.0], [9.0, 1117.0, 1797.0])]",114,154,1136,932,803,340
12,4195,4246,133310,130468,"[([9.0, 1138.0, 1820.0], [9.0, 1143.0, 1840.0])]",114,423,1136,154,803,1840
13,6265,5711,61044,78812,"[([9.0, 916.0, 1554.0], [9.0, 928.0, 1538.0])]",42,305,752,140,142,509
14,6265,2771,61044,202349,"[([9.0, 916.0, 1554.0], [9.0, 898.0, 1538.0])]",42,240,752,290,142,519
15,4959,4736,103026,113066,"[([9.0, 838.0, 1432.0], [9.0, 839.0, 1455.0])]",33,151,671,521,576,1456
16,4959,2572,103026,216334,"[([9.0, 838.0, 1432.0], [9.0, 862.0, 1430.0])]",33,244,671,662,576,1431
17,4959,4504,103026,122782,"[([9.0, 838.0, 1432.0], [9.0, 805.0, 1403.0])]",33,118,671,307,576,644
18,4959,10429,103026,11668,"[([9.0, 838.0, 1432.0], [9.0, 806.0, 1423.0])]",33,78,671,73,576,170
19,5481,4754,87136,112492,"[([9.0, 880.0, 1311.0], [9.0, 877.0, 1347.0])]",44,174,676,939,233,157
20,5481,3665,87136,155971,"[([9.0, 880.0, 1311.0], [9.0, 861.0, 1299.0])]",44,740,676,579,233,293
21,5481,3560,87136,162490,"[([9.0, 880.0, 1311.0], [9.0, 875.0, 1295.0])]",44,589,676,875,233,175
22,5481,6527,87136,55631,"[([9.0, 880.0, 1311.0], [9.0, 823.0, 1328.0])]",44,55,676,170,233,719
23,6536,4419,55448,124231,"[([9.0, 767.0, 1506.0], [9.0, 751.0, 1486.0])]",61,119,504,496,312,564
24,6536,5221,55448,93409,"[([9.0, 767.0, 1506.0], [9.0, 776.0, 1517.0])]",61,225,504,776,312,326
25,2167,6073,241208,67068,"[([553.0, 446.0, 1780.0], [554.0, 441.0, 1766.0])]",554,196,226,259,1035,281
26,4597,7001,117913,46081,"[([626.0, 192.0, 1505.0], [628.0, 192.0, 1498.0])]",627,95,246,139,924,549
27,4597,9685,117913,14131,"[([626.0, 192.0, 1505.0], [620.0, 219.0, 1507.0])]",627,19,246,220,924,218
28,1782,2415,277589,223543,"[([559.0, 1674.0, 379.0], [567.0, 1689.0, 377.0])]",572,270,1737,860,971,1516
29,1782,4522,277589,120506,"[([409.0, 1043.0, 1008.0], [401.0, 1060.0, 1040.0])]",572,175,1737,987,971,511
30,1762,1616,278622,291726,"[([9.0, 1096.0, 1964.0], [9.0, 1126.0, 1918.0])]",470,366,921,1127,998,1091
31,1762,6346,278622,60286,"[([9.0, 1096.0, 1964.0], [9.0, 1075.0, 1923.0])]",470,122,921,393,998,124
32,1762,5917,278622,71032,"[([9.0, 1096.0, 1964.0], [9.0, 1094.0, 1942.0])]",470,37,921,546,998,298
33,1762,2378,278622,228081,"[([9.0, 1096.0, 1964.0], [9.0, 1058.0, 1923.0])]",470,678,921,1027,998,358
34,1762,12149,278622,7300,"[([9.0, 1096.0, 1964.0], [9.0, 1081.0, 1956.0])]",470,32,921,119,998,94
35,449,3995,819207,143124,"[([539.0, 398.0, 564.0], [541.0, 387.0, 535.0])]",749,217,796,955,1769,1073
36,7977,4992,29671,102917,"[([63.0, 335.0, 448.0], [65.0, 337.0, 452.0])]",110,514,81,362,180,406
37,2346,13506,228812,5425,"[([342.0, 429.0, 88.0], [342.0, 433.0, 88.0])]",343,57,387,26,1959,89
38,1087,4693,361391,115021,"[([9.0, 1008.0, 1113.0], [9.0, 977.0, 1118.0])]",749,141,1276,581,1149,930
39,1087,9435,361391,15950,"[([9.0, 1008.0, 1113.0], [9.0, 989.0, 1115.0])]",749,47,1276,38,1149,70
40,1087,3013,361391,191675,"[([9.0, 1008.0, 1113.0], [11.0, 994.0, 1134.0])]",749,609,1276,705,1149,916
41,5663,9482,78957,15904,"[([317.0, 105.0, 111.0], [318.0, 103.0, 114.0])]",319,71,305,102,424,114
42,7448,3404,36973,169920,"[([196.0, 261.0, 610.0], [196.0, 228.0, 654.0])]",196,101,167,514,69,2047
43,6826,13700,49631,6429,"[([9.0, 745.0, 1298.0], [9.0, 740.0, 1295.0])]",44,4,342,39,412,168
44,6826,2565,49631,216789,"[([9.0, 745.0, 1298.0], [9.0, 756.0, 1292.0])]",44,608,342,696,412,755
45,6826,1290,49631,328470,"[([9.0, 745.0, 1298.0], [9.0, 756.0, 1291.0])]",44,740,342,554,412,1813
46,6826,3167,49631,182055,"[([9.0, 745.0, 1298.0], [9.0, 733.0, 1272.0])]",44,740,342,152,412,410
47,6826,6654,49631,54328,"[([9.0, 745.0, 1298.0], [9.0, 727.0, 1277.0])]",44,45,342,356,412,770
48,2713,4258,207521,130935,"[([608.0, 708.0, 368.0], [611.0, 697.0, 388.0])]",749,213,485,1362,1546,1214
49,843,5715,424648,78966,"[([138.0, 348.0, 1560.0], [139.0, 373.0, 1528.0])]",327,76,1777,379,1318,387
50,3517,5279,164880,93435,"[([196.0, 1534.0, 935.0], [198.0, 1496.0, 919.0])]",198,139,1114,551,299,165
51,5500,4868,85027,106599,"[([390.0, 225.0, 702.0], [391.0, 220.0, 708.0])]",391,359,350,503,150,491
52,6597,3884,52972,145668,"[([86.0, 692.0, 1198.0], [87.0, 688.0, 1204.0])]",87,478,267,1361,483,558
53,1911,1536,263262,296864,"[([548.0, 1185.0, 391.0], [539.0, 1159.0, 364.0])]",749,465,1543,2023,1567,1271
54,745,9544,477003,15729,"[([150.0, 1285.0, 1722.0], [143.0, 1262.0, 1722.0])]",281,46,980,105,1651,50
55,6291,5465,61909,86533,"[([278.0, 550.0, 1024.0], [279.0, 542.0, 1024.0])]",279,298,213,380,433,373
56,10941,2992,10127,193321,"[([63.0, 567.0, 840.0], [64.0, 571.0, 845.0])]",63,686,82,527,25,326
57,6422,7488,57950,36124,"[([216.0, 264.0, 1498.0], [218.0, 255.0, 1482.0])]",218,168,263,270,787,381
58,5659,20736,79459,1578,"[([506.0, 779.0, 298.0], [507.0, 778.0, 291.0])]",506,20,327,22,280,33
59,3854,2467,148592,219108,"[([196.0, 1118.0, 220.0], [204.0, 1087.0, 240.0])]",279,209,1570,1317,932,1254
60,6892,1021,47561,372528,"[([138.0, 657.0, 505.0], [139.0, 661.0, 496.0])]",138,298,206,2047,506,660
61,3162,6490,183033,56187,"[([104.0, 443.0, 1082.0], [113.0, 448.0, 1076.0])]",524,116,214,245,1362,318
62,6257,10054,61523,12961,"[([133.0, 339.0, 866.0], [128.0, 338.0, 870.0])]",133,75,237,104,184,33
63,5476,6315,86171,61306,"[([325.0, 594.0, 1217.0], [318.0, 629.0, 1224.0])]",328,212,177,442,1203,823
64,519,5302,715039,91261,"[([611.0, 329.0, 111.0], [610.0, 346.0, 86.0])]",749,143,2047,639,946,655
